ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean
128,2006,7/1/2006,7/31/2006,Operation Gaugamela,Iraq conflict (2003–present),30,1199,0,0,0,0,1,1,0,1,1,2,354.666.329,443.798.895,2,0,1,0,0,,0,35.4666329,44.3798895
255,2006,7/1/2006,7/31/2006,Operation Perth,War in Afghanistan,30,1728,0,0,0,0,1,0,0,1,1,1,328.475.517,660.106.684,0,0,1,0,150,,0,32.8475517,66.0106684
164,2006,7/9/2006,10/24/2006,Operation Together Forward,Iraq conflict (2003–present),107,1207,0,0,0,0,0,1,0,2,1,2,33.315.241,443.660.671,2,0,0,298,400,,,33.315241,44.3660671
217,2006,7/17/2006,9/20/2006,Siege of Musa Qala,War in Afghanistan,65,1744,0,0,0,1,1,0,0,5,1,1,313.636.474,639.586.111,0,0,1,14,200,,0,31.3636474,63.9586111
160,2006,7/25/2006,7/27/2006,Operation River Falcon,Iraq conflict (2003–present),2,1223,0,0,0,0,0,1,0,1,0,1,33.247.200.012.207,443.568.000.793.457,2,0,0,0,0,0,0,33.24720001,44.35680008
129,2006,8/1/2006,9/30/2006,Operation Guardian Tiger IV,Iraq conflict (2003–present),60,1230,0,0,0,0,0,1,0,1,0,1,34.139.720.916.748,423.780.555.725.098,2,0,0,0,,,0,34.13972092,42.37805557
112,2006,8/17/2006,2/14/2007,Second Battle of Habbaniyah,Iraq conflict (2003–present),181,1246,0,0,0,0,0,1,0,0,0,1,333.806.001,43.584.719,2,0,0,14,37,,14,33.3806001,43.584719
108,2006,9/1/2006,2/1/2007,Operation Al Majid,Iraq conflict (2003–present),153,1261,0,0,0,0,0,0,1,1,0,1,343.722.229.003.906,419.874.992.370.605,0,0,0,,,,,34.3722229,41.98749924
203,2006,9/2/2006,9/17/2006,Operation Medusa,War in Afghanistan,15,1791,0,0,0,0,0,0,1,5,1,1,315.434.701,654.608.867,0,0,1,31,512,,1,31.5434701,65.4608867
229,2006,9/16/2006,1/15/2007,Operation Mountain Fury,War in Afghanistan,121,1805,0,0,0,1,0,1,0,6,1,2,33.706.199,693.831.079,0,0,1,,,,,33.706199,69.3831079
279,2006,10/30/2006,10/31/2006,Chenagai airstrike,Insurgency in Khyber Pakhtunkhwa,1,958,1,0,0,0,0,0,0,0,1,1,347.313.165,715.130.445,0,0,1,,,,,34.7313165,71.5130445
99,2006,11/15/2006,11/16/2006,Battle of Turki,Iraq conflict (2003–present),1,1336,0,0,0,0,1,1,0,0,0,1,337.517.053,446.080.708,2,0,0,2,72,,2,33.7517053,44.6080708
182,2007,1/5/2007,1/12/2007,Battle of Ras Kamboni,Operation Enduring Freedom – Horn of Africa,7,1551,1,0,0,1,0,0,1,2,1,4,-16.360.371,415.837.116,0,0,0,,,,,-1.6360371,41.5837116
93,2007,1/6/2007,1/9/2007,Battle of Haifa Street,Iraq conflict (2003–present),3,1388,0,0,0,0,1,1,0,1,0,2,33.315.241,443.660.671,2,0,0,,20,,,33.315241,44.3660671
71,2007,1/11/2007,1/11/2007,U.S. raid on the Iranian Liaison Office in Arbil,U.S. raid on the Iranian Liaison Office in Arbil,0,0,0,0,0,0,0,0,1,0,1,0,36.190.073,439.930.303,2,0,1,,,,,36.190073,43.9930303
115,2007,1/18/2007,1/18/2007,Operation Arbead II,Iraq conflict (2003–present),0,1400,0,0,0,0,0,1,0,0,0,1,333.443.576,437.812.773,2,0,0,0,0,0,0,33.3443576,43.7812773
