ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean,Coordinate_Status,Coordinate_Note
206,2010,2010-10-31,2010-11-04,Operation Halmazag,War in Afghanistan,4,3311,0,0,0,0,1,1,0,3,1,1,367.285.511,688.678.982,0,0,1,0,12,,0,36.7285511,68.8678982,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
243,2010,2010-11-12,2010-11-25,Operation Bulldog Bite,War in Afghanistan,13,3323,0,0,0,1,1,1,0,1,1,1,348.465.893,71.097.317,0,0,1,10,101,,7,34.8465893,71.097317,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
237,2011,2011-03-01,2011-03-01,Mano Gai airstrike,War in Afghanistan,0,3432,0,0,0,0,1,0,0,0,1,0,348.728.983,711.556.204,0,0,1,,,9,,34.8728983,71.1556204,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
280,2011,2011-03-17,2011-03-17,Datta Khel airstrike,Insurgency in Khyber Pakhtunkhwa,0,2557,1,0,0,0,0,0,0,0,1,2,331.500.015.258.789,704.333.343.505.859,0,0,1,,,,,33.15000153,70.43333435,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
67,2011,2011-03-23,2011-10-31,Operation Unified Protector,Libyan Crisis,222,,1,0,0,1,0,0,0,17,1,0,263.351,17.228.331,,,,,,,,26.3351,17.228331,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
198,2011,2011-03-29,2011-04-08,Battle of Barawala Kalay Valley,War in Afghanistan,10,3460,0,0,0,0,1,1,1,0,1,1,348.465.893,71.097.317,0,0,1,6,100,,6,34.8465893,71.097317,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
200,2011,2011-05-25,2011-05-25,Battle of Do Ab,War in Afghanistan,0,3517,0,0,0,1,1,1,1,2,1,1,353.250.223,709.071.236,0,0,1,0,270,,0,35.3250223,70.9071236,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
246,2011,2011-06-24,2011-06-30,Operation Hammer Down,War in Afghanistan,6,3547,0,0,0,1,0,0,0,1,1,1,35,71.1,0,0,1,3,120,,,35,71.1,cleaned_from_original,
196,2011,2011-08-26,2011-08-26,Baraki Barak airstrike,War in Afghanistan,0,3610,0,0,0,1,0,0,0,0,1,1,339.690.929,689.509.787,0,0,1,,,6,,33.9690929,68.9509787,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
184,2011,2011-10-12,2017-09-01,Operation Observant Compass,Operation Enduring Freedom – Horn of Africa,2151,3292,0,0,0,0,0,0,1,4,1,1,,,,,,,,,,5,27,approx_from_operation_name,Central Africa / LRA theater representative point
187,2012,2012-01-25,2012-01-25,Rescue of Jessica Buchanan and Poul Hagen Thisted,Operation Enduring Freedom – Horn of Africa,0,3397,0,0,0,0,0,0,1,0,1,1,614.027.786.254.883,466.255.569.458.008,1,0,0,0,9,0,0,6.14027786,46.62555695,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
193,2012,2012-02-08,2012-02-08,2012 Kapisa airstrike,War in Afghanistan,0,3776,0,0,0,1,0,0,0,0,1,1,349.971.359,698.359.154,0,0,1,,,8,0,34.9971359,69.8359154,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
264,2012,2012-02-17,2012-02-17,Raid on Kunar,War in Afghanistan,0,3785,0,0,0,1,0,0,1,0,1,1,348.465.893,71.097.317,0,0,1,0,0,6,0,34.8465893,71.097317,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
233,2012,2012-09-14,2012-09-14,September 2012 raid on Camp Bastion,War in Afghanistan,0,3995,0,0,0,0,1,0,1,2,1,1,313.636.474,639.586.111,0,0,1,2,14,,,31.3636474,63.9586111,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
175,2013,2013-10-05,2013-10-05,2013 raid on Barawe,Operation Enduring Freedom – Horn of Africa,0,4016,0,0,0,0,0,0,1,0,1,1,11.161.954,440.318.162,2,0,0,0,0,,0,1.1161954,44.0318162,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
289,2014,2014-03-17,2016-12-03,Shabwah Governorate offensive,Yemeni Crisis,992,,1,0,0,1,0,0,0,2,1,1,143.545.083,470.802.023,0,0,1,30,35,,0,14.3545083,47.0802023,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
80,2014,2014-06-05,2014-10-08,Salahuddin campaign,American-led intervention in Iraq (2014–present),125,-10,0,0,0,1,0,0,0,10,1,2,345.337.527,43.483.738,,,,,3000,46,0,34.5337527,43.483738,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
72,2014,2014-06-14,2014-06-14,2014 American raid in Libya,Operation Enduring Freedom – Trans Sahara,0,2685,0,0,0,0,0,0,1,0,0,1,263.351,17.228.331,0,0,0,0,,,0,26.3351,17.228331,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
173,2014,2014-08-01,2014-08-19,Northern Iraq offensive,Iraq conflict (2003–present),18,4152,0,0,0,1,1,0,0,1,0,1,,,,,,14,100,5000,0,36.35,43.13,approx_from_operation_name,Northern Iraq / Mosul-Sinjar-Mosul Dam theater representative point
43,2014,2014-08-16,2015-05-23,Operation Indian Ocean,Somali Civil War,280,8603,1,0,0,1,0,0,1,2,1,1,5.152.149,46.199.616,0,0,0,,,,,5.152149,46.199616,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
266,2015,2015-01-01,2021-08-30,Operation Freedom's Sentinel,War in Afghanistan,2433,4834,1,0,0,0,0,1,0,39,1,4,3.393.911,67.709.953,0,0,1,,,,,33.93911,67.709953,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
171,2015,2015-01-21,2015-02-10,Mosul offensive (2015),Iraq conflict (2003–present),20,4325,0,0,0,1,0,0,0,7,0,1,358.003.005.981.445,432.896.995.544.434,1,0,0,,256,3,,35.8003006,43.28969955,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
21,2015,2015-02-21,2015-03-17,Al-Hasakah offensive,Syrian Civil War,24,1439,0,0,0,1,1,0,0,8,0,1,36.405.515,407.969.149,2,0,1,155,405,,,36.405515,40.7969149,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
24,2015,2015-03-17,2015-04-27,Battle of Sarrin (March–April 2015),Syrian Civil War,41,1463,0,0,0,1,0,0,0,6,0,1,365.875.015.258.789,382.997.207.641.602,0,0,1,,24,,,36.58750153,38.29972076,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
73,2015,2015-04-14,2015-05-03,Al-Karmah offensive (2015),American-led intervention in Iraq (2014–present),19,303,0,0,0,1,0,0,0,3,0,1,333.997.230.529.785,439.088.897.705.078,2,0,0,,676,,,33.39972305,43.90888977,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
22,2015,2015-05-06,2015-05-31,Al-Hasakah offensive,Syrian Civil War,25,1513,0,0,0,1,0,0,0,4,0,1,36.405.515,407.969.149,2,0,1,55,,85,,36.405515,40.7969149,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
11,2015,2015-05-15,2015-05-15,May 2015 U.S. special forces raid in Syria,Syrian Civil War,0,1522,0,0,0,0,1,0,1,1,0,1,353.296.518,401.350.341,2,0,1,0,62,,0,35.3296518,40.1350341,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
23,2015,2015-06-18,2015-07-27,Battle of Sarrin (June–July 2015),Syrian Civil War,39,1556,0,0,0,1,0,0,0,5,0,1,365.875.015.258.789,382.997.207.641.602,0,0,1,20,80,,,36.58750153,38.29972076,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
20,2015,2015-06-23,2015-08-01,Al-Hasakah city offensive (June 2015),Syrian Civil War,39,1561,0,0,0,1,0,0,0,6,0,1,36.507.867,407.462.671,2,0,1,146,361,,,36.507867,40.7462671,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
74,2015,2015-07-13,2016-06-30,Anbar campaign (2015–16),American-led intervention in Iraq (2014–present),353,393,0,0,0,1,1,0,0,5,0,1,325.597.614,419.196.471,,,,321,3550,158,,32.5597614,41.9196471,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
267,2015,2015-10-03,2015-10-03,Kunduz hospital airstrike,War in Afghanistan,0,5109,0,0,0,1,0,0,1,0,1,1,367.179.985.046.387,688.622.970.581.055,0,0,1,,,42,,36.7179985,68.86229706,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
12,2015,2015-10-21,2015-10-21,Operation Tidal Wave II,Syrian Civil War,0,1681,0,0,0,1,0,0,0,0,0,1,344.536.094.665.527,409.366.683.959.961,2,0,0,,,,,34.45360947,40.9366684,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
7,2015,2015-10-31,2015-11-30,Al-Hawl Offensive (2015),Syrian Civil War,30,1691,0,0,0,1,0,0,0,4,0,1,363.913.993.835.449,411.514.015.197.754,0,0,1,33,493,6,,36.39139938,41.15140152,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
79,2015,2015-11-12,2015-11-15,November 2015 Sinjar offensive,American-led intervention in Iraq (2014–present),3,515,0,0,0,1,0,0,0,4,0,1,363.224.983.215.332,418.641.662.597.656,0,0,0,,300,,0,36.32249832,41.86416626,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
172,2015,2015-12-16,2015-12-17,Nineveh Plains offensive,Iraq conflict (2003–present),1,4654,0,0,0,1,1,0,0,5,1,1,366.166.648.864.746,431.166.648.864.746,0,0,1,6,250,,,36.61666489,43.11666489,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
14,2015,2015-12-23,2015-12-30,Tishrin Dam offensive,Syrian Civil War,7,1744,0,0,0,1,0,0,0,1,0,1,363.814.010.620.117,381.786.003.112.793,0,0,1,9,319,,0,36.38140106,38.17860031,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
269,2016,2016-02-14,2016-03-06,Nangarhar Offensive (2016),War in Afghanistan,21,5243,1,0,0,0,0,0,0,2,0,1,3.411.669.921.875,702.166.976.928.711,0,0,1,,200,,,34.11669922,70.21669769,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
8,2016,2016-02-16,2016-02-24,Al-Shaddadi offensive (2016),Syrian Civil War,8,1799,0,0,0,1,0,0,0,2,0,1,360.560.989.379.883,407.303.009.033.203,0,0,1,26,455,40,,36.05609894,40.7303009,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
284,2016,2016-02-22,2018-08-19,Abyan conflict,Yemeni Crisis,909,,1,0,0,1,0,1,0,5,1,3,136.343.413,460.563.212,0,0,1,244,235,21,,13.6343413,46.0563212,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
19,2016,2016-03-10,2016-06-08,Northern Aleppo offensive,Syrian Civil War,90,1822,0,0,0,1,0,0,0,2,0,1,362.262.393,374.681.396,0,0,1,61,578,,0,36.2262393,37.4681396,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
78,2016,2016-03-24,2016-09-22,Mosul offensive (2016),American-led intervention in Iraq (2014–present),182,648,1,0,0,1,1,1,1,7,1,2,358.003.005.981.445,432.896.995.544.434,1,0,0,83,1399,783,1,35.8003006,43.28969955,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
